,Start_Time,Total_Accidents
752,2018-02-04,52
753,2018-02-05,147
754,2018-02-06,107
755,2018-02-07,91
756,2018-02-08,76
757,2018-02-09,102
758,2018-02-10,51
759,2018-02-11,42
760,2018-02-12,93
761,2018-02-13,84
762,2018-02-14,114
763,2018-02-15,88
764,2018-02-16,84
765,2018-02-17,73
766,2018-02-18,39
767,2018-02-19,79
768,2018-02-20,83
769,2018-02-21,57
770,2018-02-22,90
771,2018-02-23,82
772,2018-02-24,37
773,2018-02-25,24
774,2018-02-26,76
775,2018-02-27,90
776,2018-02-28,57
777,2018-03-01,79
778,2018-03-02,108
779,2018-03-03,40
780,2018-03-04,31
781,2018-03-05,69
782,2018-03-06,74
783,2018-03-07,90
784,2018-03-08,24
785,2018-03-09,67
786,2018-03-10,53
787,2018-03-11,37
788,2018-03-12,81
789,2018-03-13,123
790,2018-03-14,96
791,2018-03-15,97
792,2018-03-16,63
793,2018-03-17,44
794,2018-03-18,40
795,2018-03-19,93
796,2018-03-20,75
797,2018-03-21,87
798,2018-03-22,70
799,2018-03-23,70
800,2018-03-24,59
801,2018-03-25,27
802,2018-03-26,79
803,2018-03-27,66
804,2018-03-28,59
805,2018-03-29,57
806,2018-03-30,45
807,2018-03-31,46
808,2018-04-01,33
809,2018-04-02,80
810,2018-04-03,61
811,2018-04-04,88
812,2018-04-05,75
813,2018-04-06,67
814,2018-04-07,50
815,2018-04-08,28
816,2018-04-09,56
817,2018-04-10,72
818,2018-04-11,87
819,2018-04-12,93
820,2018-04-13,51
821,2018-04-14,55
822,2018-04-15,49
823,2018-04-16,59
824,2018-04-17,74
825,2018-04-18,79
826,2018-04-19,67
827,2018-04-20,56
828,2018-04-21,36
829,2018-04-22,42
830,2018-04-23,72
831,2018-04-24,67
832,2018-04-25,64
833,2018-04-26,43
834,2018-04-27,75
835,2018-04-28,36
836,2018-04-29,39
837,2018-04-30,67
838,2018-05-01,69
839,2018-05-02,75
840,2018-05-03,106
841,2018-05-04,78
842,2018-05-05,67
843,2018-05-06,43
844,2018-05-07,104
845,2018-05-08,48
846,2018-05-09,59
847,2018-05-10,81
848,2018-05-11,55
849,2018-05-12,40
850,2018-05-13,52
851,2018-05-14,66
852,2018-05-15,70
853,2018-05-16,80
854,2018-05-17,89
855,2018-05-18,77
856,2018-05-19,35
857,2018-05-20,42
858,2018-05-21,77
859,2018-05-22,67
860,2018-05-23,70
861,2018-05-24,66
862,2018-05-25,69
863,2018-05-26,36
864,2018-05-27,52
865,2018-05-28,83
866,2018-05-29,75
867,2018-05-30,69
868,2018-05-31,68
869,2018-06-01,83
870,2018-06-02,28
871,2018-06-03,30
872,2018-06-04,71
873,2018-06-05,66
874,2018-06-06,92
875,2018-06-07,67
876,2018-06-08,67
877,2018-06-09,44
878,2018-06-10,46
879,2018-06-11,71
880,2018-06-12,74
881,2018-06-13,79
882,2018-06-14,104
883,2018-06-15,83
884,2018-06-16,35
885,2018-06-17,56
886,2018-06-18,62
887,2018-06-19,66
888,2018-06-20,62
889,2018-06-21,81
890,2018-06-22,58
891,2018-06-23,27
892,2018-06-24,63
893,2018-06-25,58
894,2018-06-26,44
895,2018-06-27,80
896,2018-06-28,72
897,2018-06-29,80
898,2018-06-30,63
899,2018-07-01,41
900,2018-07-02,91
901,2018-07-03,80
902,2018-07-04,35
903,2018-07-05,58
904,2018-07-06,57
905,2018-07-07,49
906,2018-07-08,95
907,2018-07-09,85
908,2018-07-10,67
909,2018-07-11,64
910,2018-07-12,72
911,2018-07-13,95
912,2018-07-14,46
913,2018-07-15,53
914,2018-07-16,68
915,2018-07-17,53
916,2018-07-18,90
917,2018-07-19,70
918,2018-07-20,47
919,2018-07-21,34
920,2018-07-22,63
921,2018-07-23,67
922,2018-07-24,71
923,2018-07-25,33
924,2018-07-26,67
925,2018-07-27,43
926,2018-07-28,22
927,2018-07-29,30
928,2018-07-30,57
929,2018-07-31,52
930,2018-08-01,49
931,2018-08-02,42
932,2018-08-03,38
933,2018-08-04,30
934,2018-08-05,29
935,2018-08-06,50
936,2018-08-07,36
937,2018-08-08,30
938,2018-08-09,30
939,2018-08-10,46
940,2018-08-11,26
941,2018-08-12,41
942,2018-08-13,61
943,2018-08-14,47
944,2018-08-15,79
945,2018-08-16,75
946,2018-08-17,62
947,2018-08-18,44
948,2018-08-19,42
949,2018-08-20,53
950,2018-08-21,32
951,2018-08-22,53
952,2018-08-23,39
953,2018-08-24,66
954,2018-08-25,52
955,2018-08-26,38
956,2018-08-27,54
957,2018-08-28,65
958,2018-08-29,111
959,2018-08-30,86
960,2018-08-31,90
961,2018-09-01,47
962,2018-09-02,72
963,2018-09-03,82
964,2018-09-04,61
965,2018-09-05,67
966,2018-09-06,64
967,2018-09-07,68
968,2018-09-08,72
969,2018-09-09,63
970,2018-09-10,84
971,2018-09-11,91
972,2018-09-12,86
973,2018-09-13,62
974,2018-09-14,73
975,2018-09-15,60
976,2018-09-16,58
977,2018-09-17,110
978,2018-09-18,88
979,2018-09-19,73
980,2018-09-20,100
981,2018-09-21,80
982,2018-09-22,33
983,2018-09-23,46
984,2018-09-24,56
985,2018-09-25,97
986,2018-09-26,62
987,2018-09-27,73
988,2018-09-28,66
989,2018-09-29,41
990,2018-09-30,50
991,2018-10-01,122
992,2018-10-02,103
993,2018-10-03,74
994,2018-10-04,76
995,2018-10-05,71
996,2018-10-06,49
997,2018-10-07,73
998,2018-10-08,86
999,2018-10-09,111
1000,2018-10-10,97
1001,2018-10-11,26
1002,2018-10-12,90
1003,2018-10-13,71
1004,2018-10-14,106
1005,2018-10-15,88
1006,2018-10-16,93
1007,2018-10-17,109
1008,2018-10-18,80
1009,2018-10-19,108
1010,2018-10-20,42
1011,2018-10-21,85
1012,2018-10-22,92
1013,2018-10-23,81
1014,2018-10-24,95
1015,2018-10-25,90
1016,2018-10-26,117
1017,2018-10-27,103
1018,2018-10-28,78
1019,2018-10-29,86
1020,2018-10-30,119
1021,2018-10-31,118
1022,2018-11-01,25
1023,2018-11-02,74
1024,2018-11-03,57
1025,2018-11-04,91
1026,2018-11-05,76
1027,2018-11-06,115
1028,2018-11-07,76
1029,2018-11-08,90
1030,2018-11-09,103
1031,2018-11-10,98
1032,2018-11-11,95
1033,2018-11-12,96
1034,2018-11-13,61
1035,2018-11-14,81
1036,2018-11-15,149
1037,2018-11-16,102
1038,2018-11-17,58
1039,2018-11-18,56
1040,2018-11-19,130
1041,2018-11-20,130
1042,2018-11-21,106
1043,2018-11-22,76
1044,2018-11-23,68
1045,2018-11-24,54
1046,2018-11-25,75
1047,2018-11-26,94
1048,2018-11-27,86
1049,2018-11-28,67
1050,2018-11-29,49
1051,2018-11-30,104
1052,2018-12-01,67
1053,2018-12-02,79
1054,2018-12-03,116
1055,2018-12-04,123
1056,2018-12-05,94
1057,2018-12-06,102
1058,2018-12-07,78
1059,2018-12-08,67
1060,2018-12-09,111
1061,2018-12-10,109
1062,2018-12-11,85
1063,2018-12-12,97
1064,2018-12-13,92
1065,2018-12-14,100
1066,2018-12-15,92
1067,2018-12-16,55
1068,2018-12-17,86
1069,2018-12-18,99
1070,2018-12-19,120
1071,2018-12-20,73
1072,2018-12-21,135
1073,2018-12-22,47
1074,2018-12-23,76
1075,2018-12-24,73
1076,2018-12-25,49
1077,2018-12-26,62
1078,2018-12-27,99
1079,2018-12-28,88
1080,2018-12-29,61
1081,2018-12-30,63
1082,2018-12-31,121
1083,2019-01-01,64
1084,2019-01-02,111
1085,2019-01-03,76
1086,2019-01-04,110
1087,2019-01-05,66
1088,2019-01-06,73
1089,2019-01-07,124
1090,2019-01-08,112
1091,2019-01-09,83
1092,2019-01-10,94
1093,2019-01-11,97
1094,2019-01-12,83
1095,2019-01-13,87
1096,2019-01-14,78
1097,2019-01-15,94
1098,2019-01-16,111
1099,2019-01-17,98
